,Season and Name,Nominal damage (Billions USD),Areas affected
0,2005 Katrina,$125.0,Louisiana Mississippi The Bahamas United States Gulf Coast South Florida Northeast Eastern Canada
1,2017 Harvey,$125.0,Texas Louisiana South America Central America The Caribbean Yucatan Peninsula
2,2022 Ian,$113.1,Trinidad and Tobago Venezuela Colombia ABC islands Jamaica Cayman Island Cuba Southeast United States
3,2017 Maria,$91.6,Puerto Rico Lesser Antilles Greater Antilles Caribbean Sea Eastern United States
4,2024 Helene,$78.7,Yucatán Peninsula Honduras Cayman Islands Cuba Southeastern United States Midwestern United States
5,2017 Irma,$77.2,Lesser Antilles Greater Antilles Caribbean Sea Eastern United States
6,2021 Ida,$75.3,Venezuela Colombia Panama Cayman Islands Cuba Southeastern United States Northeastern United States Canada
7,2012 Sandy,$68.7,The Caribbean United States East Coast Eastern Canada
8,2008 Ike,$38.0,Greater Antilles Texas Louisiana Midwestern United States Eastern Canada Iceland
9,2024 Milton,$34.3,Mexico Florida The Bahamas
10,1992 Andrew,$27.3,The Bahamas Florida Louisiana
11,2005 Wilma,$26.5,Greater Antilles Central America Florida
12,2004 Ivan,$26.1,The Caribbean Venezuela United States Gulf Coast
13,2018 Michael,$25.5,Central America Florida Georgia United States Gulf Coast Eastern United States Eastern Canada Iberian Peninsula
14,2018 Florence,$24.2,West Africa Cape Verde Bermuda Eastern United States Atlantic Canada
15,2020 Laura,$23.3,Leeward Islands Puerto Rico Dominican Republic Haiti Cuba Southeastern United States
16,2005 Rita,$18.5,Cuba Texas Louisiana
17,2004 Charley,$16.9,Jamaica Cayman Islands Cuba Florida The Carolinas
18,2016 Matthew,$16.5,Colombia Venezuela The Caribbean United States East Coast
19,2011 Irene,$14.2,The Caribbean United States East Coast Eastern Canada
20,1989 Hugo,$11.0,The Caribbean United States East Coast
21,2004 Frances,$10.1,The Caribbean Eastern United States Ontario
22,1998 Georges,$9.3,The Caribbean United States Gulf Coast
23,2001 Allison,$9.0,Texas Louisiana Southern United States
24,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana
25,2024 Beryl,$8.3,Barbados Venezuela Caribbean Yucatán Peninsula United States Eastern Canada
26,2004 Jeanne,$7.9,The Caribbean Eastern United States
27,2020 Sally,$7.3,The Bahamas Florida Southeastern United States
28,2020 Eta,$7.2,The Caribbean Central America Cuba Eastern United States
29,1999 Floyd,$6.5,The Bahamas Eastern United States Atlantic Canada
30,1998 Mitch,$6.1,Central America Yucatán Peninsula South Florida
31,2003 Isabel,$5.5,Greater Antilles The Bahamas Eastern United States Ontario
32,2019 Dorian,$5.1,The Caribbean The Bahamas Eastern United States Atlantic Canada
33,2019 Imelda,$5.0,Texas Louisiana Oklahoma Arkansas
34,1996 Fran,$5.0,Eastern United States Ontario
