,Season and Name,Nominal damage (Billions USD),Areas affected,ID,Date,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure
0,2005 Katrina,$125.0,Louisiana Mississippi The Bahamas United States Gulf Coast South Florida Northeast Eastern Canada,AL122005,20050825,L, HU,26.0N,80.1W,70,984
1,2005 Katrina,$125.0,Louisiana Mississippi The Bahamas United States Gulf Coast South Florida Northeast Eastern Canada,AL122005,20050829,L, HU,29.3N,89.6W,110,920
2,2005 Katrina,$125.0,Louisiana Mississippi The Bahamas United States Gulf Coast South Florida Northeast Eastern Canada,AL122005,20050829,L, HU,30.2N,89.6W,105,928
3,2012 Sandy,$68.7,The Caribbean United States East Coast Eastern Canada,AL182012,20121024,L, HU,17.9N,76.6W,75,971
4,2012 Sandy,$68.7,The Caribbean United States East Coast Eastern Canada,AL182012,20121025,L, HU,20.0N,76.0W,100,954
5,2012 Sandy,$68.7,The Caribbean United States East Coast Eastern Canada,AL182012,20121029,L, EX,39.4N,74.4W,70,945
6,2008 Ike,$38.0,Greater Antilles Texas Louisiana Midwestern United States Eastern Canada Iceland,AL092008,20080907,L, HU,21.0N,73.2W,110,947
7,2008 Ike,$38.0,Greater Antilles Texas Louisiana Midwestern United States Eastern Canada Iceland,AL092008,20080908,L, HU,21.1N,75.7W,115,945
8,2008 Ike,$38.0,Greater Antilles Texas Louisiana Midwestern United States Eastern Canada Iceland,AL092008,20080909,L, HU,22.6N,82.9W,70,965
9,2008 Ike,$38.0,Greater Antilles Texas Louisiana Midwestern United States Eastern Canada Iceland,AL092008,20080913,L, HU,29.3N,94.7W,95,950
10,1992 Andrew,$27.3,The Bahamas Florida Louisiana,AL041992,19920823,L, HU,25.4N,76.6W,140,923
11,1992 Andrew,$27.3,The Bahamas Florida Louisiana,AL041992,19920824,L, HU,25.4N,77.8W,130,931
12,1992 Andrew,$27.3,The Bahamas Florida Louisiana,AL041992,19920824,L, HU,25.5N,80.2W,145,926
13,1992 Andrew,$27.3,The Bahamas Florida Louisiana,AL041992,19920824,L, HU,25.5N,80.3W,145,922
14,1992 Andrew,$27.3,The Bahamas Florida Louisiana,AL041992,19920826,L, HU,29.6N,91.5W,100,956
15,2005 Wilma,$26.5,Greater Antilles Central America Florida,AL252005,20051021,L, HU,20.6N,86.8W,130,927
16,2005 Wilma,$26.5,Greater Antilles Central America Florida,AL252005,20051022,L, HU,20.8N,86.9W,115,933
17,2005 Wilma,$26.5,Greater Antilles Central America Florida,AL252005,20051024,L, HU,25.9N,81.7W,105,950
